DATETIME,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>,RSI
2022-05-24 17:00:00,22.153,22.202,21.917,22.055,2184,0,6,61.48401156545984
2022-05-24 18:00:00,22.055,22.142,22.051,22.125,1539,0,5,64.53561104387165
2022-05-24 19:00:00,22.125,22.141,22.066,22.083,1278,0,2,61.392651376623306
2022-05-24 20:00:00,22.083,22.083,22.031,22.055,1264,0,3,59.31858067453268
2022-05-24 21:00:00,22.056,22.103,21.991,22.002,1116,0,6,55.49670226769111
2022-05-24 22:00:00,22.003,22.111,21.997,22.097,875,0,7,60.4193771920796
2022-05-24 23:00:00,22.095,22.108,22.084,22.094,212,0,11,60.19294566606066
2022-05-25 01:00:00,22.09,22.108,22.073,22.1,192,0,12,60.51169102096047
2022-05-25 02:00:00,22.1,22.131,22.094,22.121,265,0,17,61.668579417950276
2022-05-25 03:00:00,22.121,22.138,22.06,22.07,503,0,17,57.27964762671564
2022-05-25 04:00:00,22.072,22.084,22.034,22.052,981,0,16,55.77099148543102
2022-05-25 05:00:00,22.047,22.087,21.963,21.998,934,0,15,51.397411134146076
2022-05-25 06:00:00,21.998,22.063,21.978,22.058,589,0,11,55.566853604909774
2022-05-25 07:00:00,22.061,22.064,22.037,22.049,348,0,16,54.807343980529154
2022-05-25 08:00:00,22.049,22.059,21.983,22.009,593,0,13,51.441941635850384
2022-05-25 09:00:00,22.008,22.014,21.937,21.99,994,0,8,49.87532662833603
2022-05-25 10:00:00,21.988,21.993,21.895,21.922,2117,0,9,44.63605700240549
2022-05-25 11:00:00,21.921,21.945,21.857,21.861,2188,0,9,40.523623629547764
2022-05-25 12:00:00,21.861,21.918,21.858,21.861,1493,0,7,40.523623629547764
2022-05-25 13:00:00,21.859,21.867,21.763,21.768,1262,0,5,34.846878312319426
2022-05-25 14:00:00,21.769,21.847,21.733,21.788,1401,0,5,36.89422765841772
2022-05-25 15:00:00,21.791,21.879,21.733,21.874,1468,0,8,44.9106004110185
2022-05-25 16:00:00,21.873,21.942,21.74,21.836,1367,0,5,42.350610127179806
2022-05-25 17:00:00,21.835,21.97,21.806,21.929,1123,0,4,49.880373327394196
2022-05-25 18:00:00,21.929,21.929,21.795,21.868,1014,0,5,45.667082480676754
2022-05-25 19:00:00,21.868,21.894,21.809,21.833,632,0,6,43.40179993856056
2022-05-25 20:00:00,21.834,21.892,21.821,21.872,508,0,2,46.581540706510665
2022-05-25 21:00:00,21.872,22.011,21.853,22.011,1658,0,4,56.05724058496979
2022-05-25 22:00:00,22.011,22.049,22.0,22.016,787,0,1,56.3571382243307
2022-05-25 23:00:00,22.018,22.018,21.985,21.994,308,0,15,54.59171112432656
2022-05-26 01:00:00,21.994,22.016,21.966,21.981,162,0,13,53.52472045960015
2022-05-26 02:00:00,21.98,21.991,21.963,21.975,231,0,18,53.009750078715456
2022-05-26 03:00:00,21.975,21.993,21.917,21.921,481,0,14,48.488164260213
2022-05-26 04:00:00,21.921,21.942,21.834,21.84,1036,0,13,42.616172880368566
2022-05-26 05:00:00,21.84,21.898,21.835,21.887,850,0,9,46.65314725271037
2022-05-26 06:00:00,21.888,21.889,21.82,21.842,720,0,10,43.49789515370963
2022-05-26 07:00:00,21.847,21.869,21.765,21.772,548,0,5,39.07119577091018
2022-05-26 08:00:00,21.772,21.794,21.714,21.73,919,0,10,36.66048073149605
2022-05-26 09:00:00,21.734,21.789,21.724,21.786,1278,0,11,41.815386688270635
2022-05-26 10:00:00,21.786,21.884,21.777,21.863,1373,0,10,48.073229866141446
2022-05-26 11:00:00,21.863,21.875,21.774,21.777,1719,0,10,42.5666897151313
2022-05-26 12:00:00,21.776,21.816,21.735,21.806,1281,0,10,44.86032286727519
2022-05-26 13:00:00,21.806,21.884,21.806,21.879,996,0,10,50.246641676056115
2022-05-26 14:00:00,21.879,21.935,21.857,21.91,1581,0,11,52.37425703695023
2022-05-26 15:00:00,21.906,21.917,21.773,21.785,1326,0,7,44.171722715498035
2022-05-26 16:00:00,21.787,21.996,21.773,21.951,1365,0,6,54.38798814664803
2022-05-26 17:00:00,21.954,22.069,21.903,21.919,910,0,1,52.39743162293976
2022-05-26 18:00:00,21.919,21.95,21.889,21.915,692,0,2,52.14054482737629
